region,type,os,price
eu-central-1,c4.8xlarge,rhel,2.268
eu-central-1,c3.large,rhel,0.189
eu-central-1,c3.xlarge,rhel,0.318
eu-central-1,c3.2xlarge,rhel,0.646
eu-central-1,c3.4xlarge,rhel,1.162
eu-central-1,c3.8xlarge,rhel,2.194
eu-central-1,g2.2xlarge,rhel,0.902
eu-central-1,g2.8xlarge,rhel,3.218
eu-central-1,r3.large,rhel,0.26
eu-central-1,r3.xlarge,rhel,0.46
eu-central-1,r3.2xlarge,rhel,0.93
eu-central-1,r3.4xlarge,rhel,1.73
eu-central-1,r3.8xlarge,rhel,3.331
eu-central-1,i2.xlarge,rhel,1.073
eu-central-1,i2.2xlarge,rhel,2.156
eu-central-1,i2.4xlarge,rhel,4.181
eu-central-1,i2.8xlarge,rhel,8.232
eu-central-1,d2.xlarge,rhel,0.854
eu-central-1,d2.2xlarge,rhel,1.718
eu-central-1,d2.4xlarge,rhel,3.306
eu-central-1,d2.8xlarge,rhel,6.482
ap-southeast-1,t2.micro,rhel,0.08
ap-southeast-1,t2.small,rhel,0.1
ap-southeast-1,t2.medium,rhel,0.14
ap-southeast-1,t2.large,rhel,0.22
ap-southeast-1,m4.large,rhel,0.238
ap-southeast-1,m4.xlarge,rhel,0.415
ap-southeast-1,m4.2xlarge,rhel,0.841
ap-southeast-1,m4.4xlarge,rhel,1.551
ap-southeast-1,m4.10xlarge,rhel,3.683
ap-southeast-1,m3.medium,rhel,0.158
ap-southeast-1,m3.large,rhel,0.256
ap-southeast-1,m3.xlarge,rhel,0.452
ap-southeast-1,m3.2xlarge,rhel,0.914
ap-southeast-1,c4.large,rhel,0.204
ap-southeast-1,c4.xlarge,rhel,0.349
ap-southeast-1,c4.2xlarge,rhel,0.708
ap-southeast-1,c4.4xlarge,rhel,1.285
ap-southeast-1,c4.8xlarge,rhel,2.44
ap-southeast-1,c3.large,rhel,0.192
ap-southeast-1,c3.xlarge,rhel,0.325
ap-southeast-1,c3.2xlarge,rhel,0.659
ap-southeast-1,c3.4xlarge,rhel,1.188
ap-southeast-1,c3.8xlarge,rhel,2.247
ap-southeast-1,g2.2xlarge,rhel,1.13
ap-southeast-1,g2.8xlarge,rhel,4.13
ap-southeast-1,r3.large,rhel,0.26
ap-southeast-1,r3.xlarge,rhel,0.459
ap-southeast-1,r3.2xlarge,rhel,0.928
ap-southeast-1,r3.4xlarge,rhel,1.726
ap-southeast-1,r3.8xlarge,rhel,3.322
ap-southeast-1,i2.xlarge,rhel,1.078
ap-southeast-1,i2.2xlarge,rhel,2.165
ap-southeast-1,i2.4xlarge,rhel,4.2
ap-southeast-1,i2.8xlarge,rhel,8.27
ap-southeast-1,d2.xlarge,rhel,0.93
ap-southeast-1,d2.2xlarge,rhel,1.87
ap-southeast-1,d2.4xlarge,rhel,3.61
ap-southeast-1,d2.8xlarge,rhel,7.09
ap-northeast-1,t2.micro,rhel,0.08
ap-northeast-1,t2.small,rhel,0.1
ap-northeast-1,t2.medium,rhel,0.14
ap-northeast-1,t2.large,rhel,0.22
ap-northeast-1,m4.large,rhel,0.234
ap-northeast-1,m4.xlarge,rhel,0.408
ap-northeast-1,m4.2xlarge,rhel,0.825
ap-northeast-1,m4.4xlarge,rhel,1.521
ap-northeast-1,m4.10xlarge,rhel,3.607
ap-northeast-1,m3.medium,rhel,0.156
ap-northeast-1,m3.large,rhel,0.253
ap-northeast-1,m3.xlarge,rhel,0.445
ap-northeast-1,m3.2xlarge,rhel,0.9
ap-northeast-1,c4.large,rhel,0.193
ap-northeast-1,c4.xlarge,rhel,0.325
ap-northeast-1,c4.2xlarge,rhel,0.661
ap-northeast-1,c4.4xlarge,rhel,1.191
ap-northeast-1,c4.8xlarge,rhel,2.252
